title,description,link,domain
Bridge Schools in Nairobi,"Establishing low-cost private schools using a standardized curriculum and technology. Students scored 10-20% higher in reading and math compared to peers in public schools. $6 per month per student, making it affordable for low-income families. Rapid expansion with over 50,000 students enrolled within three years.",https://www.bridgeinternationalacademies.com/,education
Cheonggyecheon Stream Restoration,"35% reduction in pollution, 50% increase in property value.",https://www.seoulsolution.kr/en/content/seoul-urban-regeneration-cheonggyecheon-restoration-and-downtown-revitalization,environment
"Paris, Vélib' Bike Share Program","100,000 daily rides. 32,330 tons of CO2 emissions saved annually.",https://digitalcommons.usf.edu/jpt/vol12/iss4/3/,environment
London Pocket Parks Program (Green Spaces),100 pocket parks created. Increased local property values by up to 8%.,https://www.london.gov.uk/who-we-are/what-london-assembly-does/questions-mayor/find-an-answer/pocket-parks-3,environment
Barcelona Superblocks Initiative,20% reduction in NO2 levels within superblocks. Increased public space per resident from 1.85 m to 6.65 m. 5-10 decibel decrease in noise pollution. 30% increase interaction among residents.,https://ajuntament.barcelona.cat/ecologiaurbana/sites/default/files/en_gb_MESURA%20GOVERN%20SUPERILLES.pdf,environment
Medellín's Green Corridors,"Temperature drops of up to 2°C in some areas. Airborne particulate matter (PM10) levels have decreased by around 7%. Social, economic, and cultural impacts observed.",https://www.bbc.com/future/article/20230922-how-medellin-is-beating-the-heat-with-green-corridors,environment
Cape Town Violence Prevention Through Urban Upgrading,25-40% decrease in violent crime and 85% increase in community involvement.,https://www.ccc.govt.nz/assets/Documents/Culture-Community/Community-Safety/CPTEDFull-docs.pdf,governance
Medellín’s Social Urbanism,"Significant reduction in crime rates due to improved social conditions and accessibility. Development of innovative transport solutions like the Metrocable, connecting underserved areas to the city center. Creation of library parks and public spaces to foster community engagement. Increased local and international investments in Medellín. Creation of jobs through construction projects and improved business environments.",https://storymaps.arcgis.com/stories/78d65010778547b79c4ccaadd3a35e55,governance
The Harlem Children's Zone,Decrease in youth violence and crime rates in the targeted areas. Improved safety through community engagement and support programs. High school graduation rates increased significantly among program participants. Increased college enrollment rates for students involved in HCZ programs.,https://hcz.org/our-purpose/our-impact/,governance
Camden's Community Policing and Violence Prevention,"42% reduction in homicides from 2012 to 2019. Increased police presence and engagement with community members through foot patrols and local meetings. Programs targeting at-risk youth, including mentorship and recreational activities. Provision of social services, such as job training and educational support.",https://youth.gov/youth-topics/preventing-youth-violence/forum-communities/camden/brief,governance
Richmond's Office of Neighborhood Safety,"66% reduction in homicides from 2007 to 2018. Engagement with at-risk youth through mentorship programs and personal development plans. Provision of job training, education, and employment opportunities for participants.",https://www.ci.richmond.ca.us/271/Office-of-Neighborhood-Safety,governance
Atlanta's Beltline,"5,600 new workforce housing units. 50,000 new housing units anticipated along the corridor. 45 neighborhoods gain new and greater connectivity. 8 percent of the city's land mass covered in the planning area and 25 percent of Atlanta's residential population.",https://highways.dot.gov/public-roads/septemberoctober-2011/atlanta-beltline-green-future,housing
"Toronto, Regent Park Revitalization","5,400 new units, including affordable and market-rate housing. Increased social mix and community engagement through shared public spaces.",https://www.torontohousing.ca/building-construction-and-revitalization/revitalization/regent-park,housing
Vienna's Social Housing Model,"Rents in Vienna's social housing are approximately 20-30% lower than the private market. Only about 25% of household income is spent on rent, compared to higher percentages in many other cities. Social and economic impacts observed by promoting diverse neighborhoods.",https://www.oeaw.ac.at/en/isr/housing-and-urban-economy/affordable-housing-and-living-in-vienna,housing
Tokyo's Small-Space Affordable Housing,Small-space units typically rent for 20-40% less than standard apartments. Rapid development of small-space units has helped alleviate housing shortages. Small-space housing increases population density without expanding the city's footprint.,https://www.surfacemag.com/articles/tokyo-micro-apartments-spilytus-ququri/,housing
Freiburg's Vauban District,"Environmental impacts include; all buildings in Vauban are constructed to high energy efficiency standards, with many meeting the Passivhaus standard. The district generates a significant portion of its energy through renewable sources, including solar power. Approximately 30% of the housing is cooperatively owned, significantly reducing costs and all housing is affordable. Social impacts included recruiting residents in the design and planning as well as ensuring diversity in residents.",https://www.researchgate.net/publication/269781278_The_sustainable_Urban_district_of_vauban_in_Freiburg_Germany,housing
"Medellín, Colombia Metrocable","300,000 passengers daily, 60% time decrease in travel time to city center",https://www.centreforpublicimpact.org/case-study/urban-cable-car-medillincolombia,mobility
Curitiba Bus Rapid Transit System,"2 million passengers daily. $1.5 million per kilometer, compared to $100 million per kilometer for subway system",https://environmentaldocuments.com/embarq/Social-Environmental-Economic-Impacts-BRT-Bus-Rapid-Transit-EMBARQ.pdf,mobility
Riyadh public transportation,"Cost $22 billion, 9 million users expected users by 2028. Average revenue per user is expected to be 99.25 dollars. Capacity for about 1 million users daily (metro only not including buses)",https://www.statista.com/outlook/mmo/shared-mobility/public-transportation/saudi-arabia,mobility
Copenhagen Citywide Bicycle Infrastructure,"49% of all commutes are by bike, annual savings of $44 million in health costs",https://www.wonderfulcopenhagen.com/wonderful-copenhagen/international-press/bicycle-friendly-copenhagen,mobility
Vienna Active Transportation Campaigns,30% increase in daily walking and cycling trips. Reduction in obesity rates by 5%.,https://smartcity.wien.gv.at/wp-content/uploads/sites/3/2022/05/scwr_klima_2022_web-EN.pdf,mobility
Numerous cities Integrating Refugees through Sports,"1,000 refugees engaged in sports programs. 70% of participants reported feeling more connected to their community.",https://www.ncbi.nlm.nih.gov/pmc/articles/PMC7739661/,social
Singapore Community-in-Bloom Program,"1,200 community gardens with over 20,000 gardeners. Improved neighbor relations and increased community activities.",https://www.nparks.gov.sg/-/media/nparks-real-content/about-us/annual-report/ar-2020.pdf,social
Melbourne Laneway Revitalization,20 laneways revitalized. Increased foot traffic and social interactions by 35%.,https://globaldesigningcities.org/publication/global-street-design-guide/streets/pedestrian-priority-spaces/laneways-and-alleys/case-study-laneways-of-melbourne-australia/,social
Paris Les Grands Voisins,"Hosted 2,000 events, attracting over 100,000 visitors annually. Provided temporary housing for 600 people.",https://lesgrandsvoisins.org/,social
Medellín Biblioteca España,"Construction of a large library and cultural center in a marginalized neighborhood to provide educational resources and cultural activities. 1,500 daily visitors. Increased literacy rates and community engagement in cultural activities.",https://www.tandfonline.com/doi/abs/10.1080/13604813.2011.609007,social
Berlin Neighborhood Mothers (Stadtteilmütter),"200 Neighborhood Mothers supporting over 1,000 families annually. Increased school participation rates and improved health service utilization among immigrant families.","https://ec.europa.eu/regional_policy/en/projects/europe/neighbourhood-mothers-neukolln-stadtteilmutter-neukolln-integrating-immigrant-mothers-via-local-women#:~:text=%E2%80%9CNeighbourhood%20mothers%E2%80%9D%2C%20known%20as,up%20to%2012%20years%20old.",social
"Millennium Park, Chicago","The development of Millennium Park has transformed an old rail yard into a major public park, fostering social cohesion through cultural events, public art, and recreational spaces. 25 million visitors annually. $1.4 billion in tourism revenue generated.",https://www.chicago.gov/city/en/depts/dca/supp_info/millennium_park.html,social
"HafenCity, Hamburg","The redevelopment of Hamburg's old port into a mixed-use urban quarter has focused on creating diverse, inclusive communities with ample public spaces for social activities. 14,000 new jobs created. 6,000 new residents.",https://www.hafencity.com/en,social
Bryant Park New York City,"The transformation of Bryant Park from a neglected space to a vibrant urban park has significantly increased social cohesion through programming and public events. 12 million visitors annually. Hosts over 1,000 free activities per year.",nolink,social
Malmö City Library International Programs,"The library offers a range of programs and services aimed at integrating immigrants, including language cafes, cultural events, and information services on local customs and laws. 50,000 attendees at language cafes and cultural events annually. 90% of participants report feeling more integrated into the community.",https://malmo.se/Uppleva-och-gora/Biblioteken/Vara-bibliotek/Stadsbiblioteket.html,social
Toronto Newcomer Office,"This office coordinates a range of services for immigrants, including employment support, language training, and cultural orientation, fostering social cohesion and reducing discrimination. 100,000 newcomers assisted annually. 80% of participants find employment within a year of participating in the programs.",https://www.toronto.ca/city-government/accountability-operations-customer-service/long-term-vision-plans-and-strategies/toronto-newcomer-strategy/,social
